<<<<<<< Updated upstream
"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_fall_les","edad_fall_les","edad_m1","g_edad_fall_les","estado_implicado","tipo_vehi","color_vehi","casusa_acc"
3442,17,"Julio","Martes",1,"Guatemala","Mixco","Urbano","11","Hombre","26","Mayor","25-29","Lesionado","Motocicleta","Negro","Colisiono"
3443,17,"Julio","Martes",17,"Jutiapa","Moyuta","Rural","Ignorado","Hombre","16","Menor","15-19","Lesionado","Motocicleta","Rojo","Colisiono"
3444,17,"Julio","Martes",21,"Escuintla","Escuintla","Rural","Ignorado","Hombre","23","Mayor","20-24","Lesionado","Motocicleta","Ignorado","Colisiono"
3445,17,"Julio","Martes",1,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","36","Mayor","35-39","Lesionado","Pick up","Verde","Colisiono"
3446,17,"Julio","Martes",1,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","36","Mayor","35-39","Lesionado","Automovil","Rojo","Colisiono"
3447,17,"Julio","Martes",20,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","24","Mayor","20-24","Lesionado","Mototaxi","Ignorado","Colisiono"
3448,17,"Julio","Martes",20,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Mujer","26","Mayor","25-29","Lesionado","Mototaxi","Ignorado","Colisiono"
3449,17,"Julio","Martes",20,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Mujer","26","Mayor","25-29","Lesionado","Mototaxi","Ignorado","Colisiono"
3450,17,"Julio","Martes",20,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Mujer","3","Menor","Menosr de 15","Lesionado","Mototaxi","Ignorado","Colisiono"
3451,17,"Julio","Martes",20,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","30","Mayor","30-34","Lesionado","Motocicleta","Ignorado","Colisiono"
3452,18,"Julio","Miercoles",13,"Guatemala","Chinuautla","Urbano","6","Hombre","18","Mayor","15-19","Lesionado","Motocicleta","Rojo","Colisiono"
3453,18,"Julio","Miercoles",13,"Guatemala","Chinuautla","Urbano","6","Mujer","45","Mayor","45-49","Lesionado","Motocicleta","Rojo","Colisiono"
3454,18,"Julio","Miercoles",10,"Escuintla","San José","Rural","Ignorado","Mujer","1","Menor","Menosr de 15","Lesionado","Motocicleta","Ignorado","Colisiono"
3455,18,"Julio","Miercoles",17,"Suchitepéquez","Patulul","Rural","Ignorado","Hombre","24","Mayor","20-24","Lesionado","Pick up","Rojo","Vuelco"
3456,18,"Julio","Miercoles",17,"Suchitepéquez","Patulul","Rural","Ignorado","Hombre","20","Mayor","20-24","Lesionado","Pick up","Rojo","Vuelco"
3457,18,"Julio","Miercoles",9,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","36","Ignorado","35-39","Lesionado","Motocicleta","Corinto","Colisiono"
3458,18,"Julio","Miercoles",13,"Alta Verapaz","Cobán","Rural","Ignorado","Hombre","23","Mayor","20-24","Fallecido","Motocicleta","Negro","Colisiono"
3459,18,"Julio","Miercoles",15,"Alta Verapaz","Cahabón","Rural","Ignorado","Hombre","Ignorado","Mayor","Ignorado","Lesionado","Motocicleta","Ignorado","Colisiono"
3460,18,"Julio","Miercoles",15,"Alta Verapaz","Cahabón","Rural","Ignorado","Hombre","Ignorado","Mayor","Ignorado","Lesionado","Motocicleta","Ignorado","Colisiono"
3461,19,"Julio","Jueves",21,"Guatemala","Guatemala","Urbano","7","Hombre","36","Mayor","35-39","Lesionado","Automovil","Azul","Colisiono"
3462,19,"Julio","Jueves",21,"Guatemala","Mixco","Urbano","6","Mujer","17","Menor","15-19","Lesionado","Bus extraurbano","Amarillo","Colisiono"
3463,19,"Julio","Jueves",19,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","24","Mayor","20-24","Lesionado","Motocicleta","Negro","Colisiono"
3464,19,"Julio","Jueves",4,"Suchitepéquez","Mazatenango","Rural","Ignorado","Mujer","38","Mayor","35-39","Lesionado","Camión","Blanco","Colisiono"
3465,19,"Julio","Jueves",17,"Petén","Poptún","Rural","Ignorado","Mujer","20","Ignorado","20-24","Lesionado","Motocicleta","Rojo","Colisiono"
3466,19,"Julio","Jueves",17,"Petén","Poptún","Rural","Ignorado","Hombre","16","Menor","15-19","Lesionado","Motocicleta","Rojo","Colisiono"
3467,19,"Julio","Jueves",20,"Solola","Sololá","Rural","Ignorado","Hombre","Ignorado","Mayor","Ignorado","Lesionado","Camión","Ignorado","Colisiono"
3468,20,"Julio","Viernes",0,"Guatemala","Guatemala","Urbano","8","Hombre","Ignorado","Mayor","Ignorado","Fallecido","Camioneta","Negro","Choque"
3469,20,"Julio","Viernes",0,"Guatemala","Guatemala","Urbano","8","Hombre","Ignorado","Mayor","Ignorado","Lesionado","Camioneta","Negro","Choque"
3470,20,"Julio","Viernes",10,"Guatemala","Guatemala","Urbano","19","Hombre","24","Mayor","20-24","Lesionado","Pick up","Blanco","Colisiono"
3471,20,"Julio","Viernes",7,"Suchitepéquez","San Antonio Suchitepéquez","Rural","Ignorado","Hombre","67","Mayor","55 y más","Lesionado","Automovil","Azul","Colisiono"
3472,20,"Julio","Viernes",7,"Suchitepéquez","San Antonio Suchitepéquez","Rural","Ignorado","Hombre","44","Mayor","40-44","Lesionado","Automovil","Azul","Colisiono"
3473,20,"Julio","Viernes",7,"Suchitepéquez","San Antonio Suchitepéquez","Rural","Ignorado","Hombre","24","Mayor","20-24","Lesionado","Automovil","Azul","Colisiono"
3474,20,"Julio","Viernes",2,"Solola","Sololá","Rural","Ignorado","Hombre","Ignorado","Ignorado","Ignorado","Fallecido","Camión","Ignorado","Colisiono"
3475,20,"Julio","Viernes",2,"Solola","Sololá","Rural","Ignorado","Hombre","Ignorado","Ignorado","Ignorado","Fallecido","Camión","Ignorado","Colisiono"
3476,20,"Julio","Viernes",2,"Solola","Sololá","Rural","Ignorado","Hombre","34","Mayor","30-34","Lesionado","Cabezal","Ignorado","Colisiono"
3477,20,"Julio","Viernes",2,"Solola","Sololá","Rural","Ignorado","Hombre","26","Mayor","25-29","Lesionado","Cabezal","Ignorado","Colisiono"
3478,20,"Julio","Viernes",2,"Solola","Sololá","Rural","Ignorado","Hombre","52","Mayor","50-54","Lesionado","Cabezal","Ignorado","Colisiono"
3479,21,"Julio","Sábado",21,"Guatemala","Guatemala","Urbano","1","Hombre","33","Mayor","30-34","Lesionado","Motocicleta","Negro","Colisiono"
3480,21,"Julio","Sábado",21,"Guatemala","Guatemala","Urbano","1","Mujer","30","Mayor","30-34","Lesionado","Motocicleta","Negro","Colisiono"
3481,21,"Julio","Sábado",5,"Guatemala","Guatemala","Urbano","2","Hombre","23","Mayor","20-24","Fallecido","Automovil","Rojo","Colisiono"
3482,21,"Julio","Sábado",5,"Guatemala","Guatemala","Urbano","2","Hombre","20","Mayor","20-24","Lesionado","Automovil","Rojo","Colisiono"
3483,21,"Julio","Sábado",5,"Guatemala","Guatemala","Urbano","2","Hombre","20","Mayor","20-24","Lesionado","Automovil","Rojo","Colisiono"
3484,21,"Julio","Sábado",3,"Guatemala","Guatemala","Urbano","1","Hombre","24","Mayor","20-24","Lesionado","Motocicleta","Rojo","Colisiono"
3485,21,"Julio","Sábado",20,"Guatemala","Guatemala","Urbano","5","Mujer","38","Mayor","35-39","Lesionado","Automovil","Café","Colisiono"
3486,21,"Julio","Sábado",23,"Guatemala","San José Pinula","Rural","Ignorado","Hombre","21","Mayor","20-24","Lesionado","Motocicleta","Azul","Colisiono"
3487,21,"Julio","Sábado",12,"Guatemala","Guatemala","Urbano","12","Hombre","24","Mayor","20-24","Lesionado","Motocicleta","Ignorado","Colisiono"
3488,21,"Julio","Sábado",12,"Guatemala","Guatemala","Urbano","12","Hombre","20","Mayor","20-24","Lesionado","Motocicleta","Ignorado","Colisiono"
3489,21,"Julio","Sábado",19,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","39","Mayor","35-39","Fallecido","Mototaxi","Rojo","Caida"
3490,21,"Julio","Sábado",19,"Chiquimula","Esquipulas","Rural","Ignorado","Mujer","30","Mayor","30-34","Fallecido","Mototaxi","Rojo","Caida"
3491,21,"Julio","Sábado",19,"Chiquimula","Esquipulas","Rural","Ignorado","Mujer","2","Menor","Menosr de 15","Lesionado","Mototaxi","Rojo","Caida"
3492,21,"Julio","Sábado",19,"Chiquimula","Esquipulas","Rural","Ignorado","Mujer","10","Menor","Menosr de 15","Lesionado","Mototaxi","Rojo","Caida"
3493,21,"Julio","Sábado",19,"Chiquimula","Esquipulas","Rural","Ignorado","Mujer","50","Mayor","50-54","Lesionado","Mototaxi","Rojo","Caida"
3494,21,"Julio","Sábado",19,"Chiquimula","Esquipulas","Rural","Ignorado","Mujer","11","Menor","Menosr de 15","Lesionado","Mototaxi","Rojo","Caida"
3495,21,"Julio","Sábado",19,"Chiquimula","Esquipulas","Rural","Ignorado","Mujer","31","Mayor","30-34","Lesionado","Mototaxi","Rojo","Caida"
3496,21,"Julio","Sábado",13,"Escuintla","Guanagazapa","Rural","Ignorado","Hombre","17","Menor","15-19","Lesionado","Motocicleta","Rojo","Choque"
3497,21,"Julio","Sábado",19,"Escuintla","Tiquizate","Rural","Ignorado","Hombre","48","Mayor","45-49","Fallecido","Motocicleta","Rojo","Caida"
3498,21,"Julio","Sábado",19,"Santa Rosa","Chiquimulilla","Rural","Ignorado","Hombre","30","Mayor","30-34","Lesionado","Motocicleta","Rojo","Colisiono"
3499,21,"Julio","Sábado",19,"Santa Rosa","Chiquimulilla","Rural","Ignorado","Hombre","35","Mayor","35-39","Lesionado","Motocicleta","Ignorado","Colisiono"
3500,21,"Julio","Sábado",19,"Santa Rosa","Chiquimulilla","Rural","Ignorado","Hombre","21","Mayor","20-24","Lesionado","Motocicleta","Azul","Colisiono"
3501,21,"Julio","Sábado",3,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","31","Mayor","30-34","Fallecido","Automovil","Blanco","Choque"
3502,21,"Julio","Sábado",9,"El Progreso","San Agustín Acasagustlán","Rural","Ignorado","Hombre","22","Mayor","20-24","Lesionado","Pick up","Anaranjado","Vuelco"
3503,21,"Julio","Sábado",7,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Mujer","36","Mayor","35-39","Lesionado","Automovil","Negro","Colisiono"
3504,21,"Julio","Sábado",7,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","40","Mayor","40-44","Lesionado","Automovil","Negro","Colisiono"
3505,21,"Julio","Sábado",8,"Sacatepéquez","Sumpango","Rural","Ignorado","Hombre","23","Mayor","20-24","Fallecido","Automovil","Azul","Colisiono"
3506,21,"Julio","Sábado",14,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","39","Mayor","35-39","Lesionado","Pick up","Verde","Vuelco"
3507,22,"Julio","Domingo",15,"Guatemala","Guatemala","Urbano","1","Hombre","24","Mayor","20-24","Lesionado","Motocicleta","Negro","Colisiono"
3508,22,"Julio","Domingo",15,"Guatemala","Guatemala","Urbano","1","Mujer","23","Mayor","20-24","Lesionado","Motocicleta","Negro","Colisiono"
3509,22,"Julio","Domingo",4,"Guatemala","Guatemala","Urbano","10","Mujer","25","Mayor","25-29","Lesionado","Automovil","Verde","Colisiono"
3510,22,"Julio","Domingo",23,"Guatemala","Guatemala","Urbano","10","Mujer","22","Mayor","20-24","Lesionado","Automovil","Gris","Colisiono"
3511,22,"Julio","Domingo",20,"Guatemala","Villa Nueva","Rural","Ignorado","Mujer","25","Mayor","25-29","Lesionado","Camioneta","Corinto","Colisiono"
3512,22,"Julio","Domingo",20,"Guatemala","Villa Nueva","Rural","Ignorado","Mujer","43","Mayor","40-44","Lesionado","Camioneta","Corinto","Colisiono"
3513,22,"Julio","Domingo",7,"Chiquimula","Quetzaltepeque","Rural","Ignorado","Hombre","55","Mayor","55 y más","Fallecido","Pick up","Verde","Colisiono"
3514,22,"Julio","Domingo",16,"Zacapa","La Unión","Rural","Ignorado","Hombre","20","Mayor","20-24","Lesionado","Motocicleta","Ignorado","Colisiono"
3515,22,"Julio","Domingo",18,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","29","Mayor","25-29","Lesionado","Motocicleta","Negro","Vuelco"
3516,22,"Julio","Domingo",10,"Huehuetenango","Huehuetenango","Rural","Ignorado","Mujer","27","Mayor","25-29","Lesionado","Pick up","Azul","Colisiono"
3517,22,"Julio","Domingo",10,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","28","Mayor","25-29","Lesionado","Pick up","Azul","Colisiono"
3518,22,"Julio","Domingo",10,"Huehuetenango","Huehuetenango","Rural","Ignorado","Mujer","25","Mayor","25-29","Lesionado","Pick up","Azul","Colisiono"
3519,22,"Julio","Domingo",0,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","41","Mayor","40-44","Lesionado","Motocicleta","Ignorado","Colisiono"
3520,23,"Julio","Lunes",6,"Guatemala","Guatemala","Urbano","1","Hombre","20","Mayor","20-24","Lesionado","Pick up","Ignorado","Colisiono"
3521,23,"Julio","Lunes",6,"Guatemala","Guatemala","Urbano","1","Hombre","21","Mayor","20-24","Lesionado","Pick up","Ignorado","Colisiono"
3522,23,"Julio","Lunes",9,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","23","Mayor","20-24","Lesionado","Motocicleta","Azul","Colisiono"
3523,23,"Julio","Lunes",16,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","32","Mayor","30-34","Fallecido","Pick up","Blanco","Colisiono"
3524,23,"Julio","Lunes",16,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","18","Mayor","15-19","Lesionado","Automovil","Negro","Colisiono"
3525,23,"Julio","Lunes",16,"Santa Rosa","Cuilapa","Rural","Ignorado","Mujer","29","Mayor","25-29","Lesionado","Pick up","Blanco","Colisiono"
3526,23,"Julio","Lunes",16,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","1","Menor","Menosr de 15","Lesionado","Pick up","Blanco","Colisiono"
3527,23,"Julio","Lunes",16,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","20","Mayor","20-24","Lesionado","Pick up","Blanco","Colisiono"
3528,23,"Julio","Lunes",15,"Suchitepéquez","Rio Bravo","Rural","Ignorado","Hombre","34","Mayor","30-34","Lesionado","Mototaxi","Rojo","Colisiono"
3529,23,"Julio","Lunes",15,"San Marcos","Malacatán","Rural","Ignorado","Hombre","17","Menor","15-19","Lesionado","Motocicleta","Ignorado","Caida"
3530,23,"Julio","Lunes",0,"Alta Verapaz","Cobán","Urbano","1","Mujer","22","Mayor","20-24","Lesionado","Microbus","Blanco","Choque"
3531,23,"Julio","Lunes",0,"Alta Verapaz","Cobán","Urbano","1","Mujer","22","Mayor","20-24","Lesionado","Microbus","Blanco","Choque"
3532,23,"Julio","Lunes",13,"Petén","Flores","Rural","Ignorado","Hombre","38","Mayor","35-39","Lesionado","Motocicleta","Negro","Colisiono"
3533,23,"Julio","Lunes",17,"Solola","Sololá","Rural","Ignorado","Hombre","42","Mayor","40-44","Fallecido","Bus extraurbano","Verde","Caida"
3534,23,"Julio","Lunes",17,"Solola","Sololá","Rural","Ignorado","Mujer","30","Mayor","30-34","Fallecido","Bus extraurbano","Verde","Caida"
3535,23,"Julio","Lunes",17,"Solola","Sololá","Rural","Ignorado","Hombre","38","Mayor","35-39","Fallecido","Bus extraurbano","Verde","Caida"
3536,23,"Julio","Lunes",17,"Solola","Sololá","Rural","Ignorado","Hombre","22","Mayor","20-24","Fallecido","Bus extraurbano","Verde","Caida"
3537,23,"Julio","Lunes",17,"Solola","Sololá","Rural","Ignorado","Mujer","4","Menor","Menosr de 15","Lesionado","Bus extraurbano","Verde","Caida"
3538,24,"Julio","Martes",15,"Guatemala","Mixco","Urbano","8","Hombre","6","Menor","Menosr de 15","Lesionado","Microbus","Beige","Colisiono"
3539,24,"Julio","Martes",15,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","34","Mayor","30-34","Lesionado","Automovil","Verde","Colisiono"
3540,24,"Julio","Martes",15,"Jutiapa","Jutiapa","Rural","Ignorado","Mujer","15","Menor","15-19","Lesionado","Automovil","Verde","Colisiono"
3541,24,"Julio","Martes",15,"Jutiapa","Jutiapa","Rural","Ignorado","Mujer","24","Mayor","20-24","Lesionado","Automovil","Verde","Colisiono"
3542,24,"Julio","Martes",15,"Jutiapa","Jutiapa","Rural","Ignorado","Mujer","2","Menor","Menosr de 15","Lesionado","Automovil","Verde","Colisiono"
3543,24,"Julio","Martes",15,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","14","Menor","Menosr de 15","Lesionado","Automovil","Verde","Colisiono"
3544,24,"Julio","Martes",15,"Jutiapa","Jutiapa","Rural","Ignorado","Mujer","38","Mayor","35-39","Lesionado","Automovil","Verde","Colisiono"
3545,24,"Julio","Martes",17,"Chiquimula","Chiquimula","Urbano","1","Mujer","32","Mayor","30-34","Lesionado","Motocicleta","Azul","Colisiono"
3546,24,"Julio","Martes",14,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","49","Mayor","45-49","Lesionado","Camioneta","Rojo","Colisiono"
3547,24,"Julio","Martes",14,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","44","Mayor","40-44","Lesionado","Camioneta","Rojo","Colisiono"
3548,24,"Julio","Martes",11,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Mujer","45","Mayor","45-49","Lesionado","Cabezal","Ignorado","Colisiono"
3549,24,"Julio","Martes",22,"Petén","Flores","Rural","Ignorado","Hombre","34","Mayor","30-34","Fallecido","Motocicleta","Ignorado","Choque"
3550,24,"Julio","Martes",22,"Petén","Flores","Rural","Ignorado","Hombre","26","Mayor","25-29","Lesionado","Motocicleta","Ignorado","Choque"
3551,25,"Julio","Miercoles",16,"Totonicapán","San Cristóbal Totonicapán","Rural","Ignorado","Hombre","32","Mayor","30-34","Lesionado","Motocicleta","Negro","Colisiono"
3552,25,"Julio","Miercoles",12,"Alta Verapaz","Tactic","Rural","Ignorado","Hombre","23","Mayor","20-24","Lesionado","Pick up","Café","Choque"
3553,25,"Julio","Miercoles",6,"Baja Verapaz","Salamá","Rural","Ignorado","Hombre","50","Mayor","50-54","Fallecido","Motocicleta","Negro","Colisiono"
3554,25,"Julio","Miercoles",23,"Guatemala","Guatemala","Urbano","7","Hombre","25","Mayor","25-29","Lesionado","Motocicleta","Gris","Colisiono"
3555,25,"Julio","Miercoles",23,"Guatemala","Guatemala","Urbano","7","Mujer","25","Mayor","25-29","Lesionado","Motocicleta","Gris","Colisiono"
3556,25,"Julio","Miercoles",17,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","30","Mayor","30-34","Lesionado","Automovil","Gris","Colisiono"
3557,25,"Julio","Miercoles",17,"Jutiapa","Jutiapa","Rural","Ignorado","Mujer","20","Mayor","20-24","Lesionado","Microbus","Blanco","Colisiono"
3558,25,"Julio","Miercoles",17,"Jutiapa","Jutiapa","Rural","Ignorado","Mujer","52","Mayor","50-54","Lesionado","Microbus","Blanco","Colisiono"
3559,25,"Julio","Miercoles",17,"Jutiapa","Jutiapa","Rural","Ignorado","Mujer","46","Mayor","45-49","Lesionado","Microbus","Blanco","Colisiono"
3560,25,"Julio","Miercoles",17,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","16","Menor","15-19","Lesionado","Microbus","Blanco","Colisiono"
3561,25,"Julio","Miercoles",22,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","27","Mayor","25-29","Lesionado","Pick up","Morado","Colisiono"
3562,25,"Julio","Miercoles",8,"Jutiapa","Quesada","Rural","Ignorado","Hombre","33","Mayor","30-34","Fallecido","Motocicleta","Ignorado","Colisiono"
3563,25,"Julio","Miercoles",8,"Guatemala","Guatemala","Urbano","18","Hombre","40","Mayor","40-44","Lesionado","Taxi","Ignorado","Colisiono"
3564,25,"Julio","Miercoles",21,"Solola","Panajachel","Rural","Ignorado","Hombre","39","Mayor","35-39","Lesionado","Motocicleta","Azul","Vuelco"
3565,26,"Julio","Jueves",5,"Guatemala","Guatemala","Urbano","13","Hombre","22","Mayor","20-24","Lesionado","Motocicleta","Rojo","Choque"
3566,26,"Julio","Jueves",6,"Guatemala","Guatemala","Urbano","12","Hombre","25","Mayor","25-29","Fallecido","Automovil","Blanco","Choque"
3567,26,"Julio","Jueves",6,"Guatemala","Guatemala","Urbano","12","Hombre","25","Mayor","25-29","Lesionado","Motocicleta","Negro","Colisiono"
3568,26,"Julio","Jueves",6,"Guatemala","Guatemala","Urbano","12","Hombre","27","Mayor","25-29","Lesionado","Motocicleta","Negro","Colisiono"
3569,26,"Julio","Jueves",9,"Guatemala","Mixco","Urbano","3","Hombre","52","Mayor","50-54","Lesionado","Motocicleta","Corinto","Colisiono"
3570,26,"Julio","Jueves",20,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","27","Mayor","25-29","Lesionado","Motocicleta","Ignorado","Colisiono"
3571,26,"Julio","Jueves",20,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","18","Mayor","15-19","Lesionado","Motocicleta","Ignorado","Colisiono"
3572,26,"Julio","Jueves",22,"Santa Rosa","San Rafael Las Flores","Rural","Ignorado","Hombre","47","Mayor","45-49","Fallecido","Mototaxi","Gris","Choque"
3573,26,"Julio","Jueves",8,"Quetzaltenango","Quetzaltenango","Urbano","Ignorado","Mujer","12","Menor","Menosr de 15","Lesionado","Pick up","Blanco","Colisiono"
3574,26,"Julio","Jueves",8,"Quetzaltenango","Quetzaltenango","Urbano","Ignorado","Hombre","8","Menor","Menosr de 15","Lesionado","Pick up","Blanco","Colisiono"
3575,26,"Julio","Jueves",11,"Izabal","Morales","Rural","Ignorado","Hombre","44","Mayor","40-44","Lesionado","Camión","Ignorado","Choque"
3576,26,"Julio","Jueves",11,"Izabal","Morales","Rural","Ignorado","Hombre","25","Mayor","25-29","Lesionado","Camión","Ignorado","Choque"
3577,26,"Julio","Jueves",18,"Petén","Flores","Rural","Ignorado","Hombre","46","Mayor","45-49","Lesionado","Motocicleta","Ignorado","Colisiono"
3578,26,"Julio","Jueves",21,"Solola","Panajachel","Rural","Ignorado","Hombre","39","Mayor","35-39","Lesionado","Motocicleta","Azul","Choque"
3579,26,"Julio","Jueves",11,"Chimaltenango","Chimaltenango","Rural","Ignorado","Mujer","30","Mayor","30-34","Lesionado","Ignorado","Ignorado","Colisiono"
3580,26,"Julio","Jueves",11,"Chimaltenango","Chimaltenango","Rural","Ignorado","Mujer","42","Mayor","40-44","Lesionado","Ignorado","Ignorado","Colisiono"
3581,26,"Julio","Jueves",11,"Chimaltenango","Chimaltenango","Rural","Ignorado","Mujer","13","Menor","Menosr de 15","Lesionado","Ignorado","Ignorado","Colisiono"
3582,27,"Julio","Viernes",23,"Guatemala","Guatemala","Urbano","9","Hombre","26","Mayor","25-29","Lesionado","Pick up","Ignorado","Colisiono"
3583,27,"Julio","Viernes",23,"Guatemala","Guatemala","Urbano","9","Hombre","40","Mayor","40-44","Lesionado","Pick up","Ignorado","Colisiono"
3584,27,"Julio","Viernes",21,"Guatemala","Guatemala","Urbano","5","Mujer","37","Mayor","35-39","Lesionado","Automovil","Verde","Colisiono"
3585,27,"Julio","Viernes",18,"Guatemala","Guatemala","Urbano","11","Hombre","23","Mayor","20-24","Lesionado","Motocicleta","Negro","Colisiono"
3586,27,"Julio","Viernes",23,"Guatemala","Amatitlán","Rural","Ignorado","Hombre","20","Mayor","20-24","Lesionado","Automovil","Gris","Colisiono"
3587,27,"Julio","Viernes",15,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","54","Mayor","50-54","Lesionado","Microbus","Gris","Colisiono"
3588,27,"Julio","Viernes",15,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","40","Mayor","40-44","Lesionado","Microbus","Gris","Colisiono"
3589,27,"Julio","Viernes",15,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","17","Menor","15-19","Lesionado","Microbus","Gris","Colisiono"
3590,27,"Julio","Viernes",15,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","25","Mayor","25-29","Lesionado","Microbus","Gris","Colisiono"
3591,27,"Julio","Viernes",15,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","26","Mayor","25-29","Lesionado","Microbus","Gris","Colisiono"
3592,27,"Julio","Viernes",15,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","36","Mayor","35-39","Lesionado","Microbus","Gris","Colisiono"
3593,27,"Julio","Viernes",15,"Izabal","Puerto Barrios","Rural","Ignorado","Mujer","22","Mayor","20-24","Lesionado","Microbus","Gris","Colisiono"
3594,27,"Julio","Viernes",19,"Petén","San Luis","Rural","Ignorado","Hombre","22","Mayor","20-24","Lesionado","Motocicleta","Ignorado","Colisiono"
3595,27,"Julio","Viernes",19,"Solola","Sololá","Rural","Ignorado","Hombre","55","Mayor","55 y más","Lesionado","Pick up","Rojo","Colisiono"
3596,27,"Julio","Viernes",19,"Solola","Sololá","Rural","Ignorado","Hombre","50","Mayor","50-54","Lesionado","Pick up","Rojo","Colisiono"
3597,27,"Julio","Viernes",19,"Solola","Sololá","Rural","Ignorado","Hombre","18","Mayor","15-19","Lesionado","Pick up","Rojo","Colisiono"
3598,28,"Julio","Sábado",21,"Guatemala","Guatemala","Urbano","2","Hombre","41","Mayor","40-44","Lesionado","Automovil","Azul","Colisiono"
3599,28,"Julio","Sábado",21,"Guatemala","Guatemala","Urbano","2","Mujer","47","Mayor","45-49","Lesionado","Automovil","Azul","Colisiono"
3600,28,"Julio","Sábado",21,"Guatemala","Guatemala","Urbano","2","Hombre","29","Mayor","25-29","Lesionado","Automovil","Beige","Colisiono"
3601,28,"Julio","Sábado",1,"Guatemala","Guatemala","Urbano","21","Hombre","30","Mayor","30-34","Lesionado","Automovil","Blanco","Colisiono"
3602,28,"Julio","Sábado",1,"Guatemala","Guatemala","Urbano","21","Hombre","25","Mayor","25-29","Lesionado","Motocicleta","Rojo","Colisiono"
3603,28,"Julio","Sábado",1,"Guatemala","Guatemala","Urbano","21","Hombre","25","Mayor","25-29","Lesionado","Motocicleta","Rojo","Colisiono"
3604,28,"Julio","Sábado",17,"Guatemala","Petapa","Rural","Ignorado","Hombre","29","Mayor","25-29","Fallecido","Motocicleta","Blanco","Colisiono"
3605,28,"Julio","Sábado",18,"Guatemala","Villa Canales","Rural","Ignorado","Hombre","23","Mayor","20-24","Lesionado","Motocicleta","Negro","Colisiono"
3606,28,"Julio","Sábado",18,"Guatemala","Villa Canales","Rural","Ignorado","Hombre","22","Mayor","20-24","Lesionado","Motocicleta","Negro","Colisiono"
3607,28,"Julio","Sábado",15,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","37","Mayor","35-39","Lesionado","Pick up","Negro","Colisiono"
3608,28,"Julio","Sábado",10,"Chiquimula","Chiquimula","Rural","Ignorado","Hombre","22","Mayor","20-24","Lesionado","Pick up","Azul","Choque"
3609,28,"Julio","Sábado",10,"Chiquimula","Chiquimula","Rural","Ignorado","Hombre","10","Menor","Menosr de 15","Lesionado","Pick up","Azul","Choque"
3610,28,"Julio","Sábado",10,"Chiquimula","Chiquimula","Rural","Ignorado","Mujer","38","Mayor","35-39","Lesionado","Pick up","Azul","Choque"
3611,28,"Julio","Sábado",10,"Chiquimula","Chiquimula","Rural","Ignorado","Hombre","51","Mayor","50-54","Lesionado","Pick up","Azul","Choque"
3612,28,"Julio","Sábado",19,"Escuintla","Escuintla","Rural","Ignorado","Hombre","25","Mayor","25-29","Lesionado","Mototaxi","Rojo","Colisiono"
